"CompType","CompInst","CAPEC","Confidentiality","Integrity","Availability","ApplicableDefenseProperties","ImplProperties","DAL"
"Navigation","navigation","CAPEC-242",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-242",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-248",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-248",null,null,"Availability","Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-248",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-248",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-25",null,null,"Availability","StaticCodeAnalysis;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-26",null,"Integrity",null,"StaticCodeAnalysis;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-28",null,null,"Availability","InputValidation;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-28",null,"Integrity",null,"InputValidation;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-549",null,null,"Availability","RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"Navigation","navigation","CAPEC-549",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"Navigation","navigation","CAPEC-586",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-586",null,null,"Availability","Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-586",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-586",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-594",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-594",null,null,"Availability","Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-594",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-594",null,"Integrity",null,"Logging;InputValidation;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-607",null,null,"Availability","FailSafe;AntiJamming;null","null;null;null","null;null;null"
"Navigation","navigation","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Navigation","navigation","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Navigation","navigation","CAPEC-74",null,"Integrity",null,"StaticCodeAnalysis;InputValidation;null","null;null;null","null;null;null"
"PositionEstimator","positionEstimator","CAPEC-117","Confidentiality",null,null,"EncryptedTransmission;null;null","null;null;null","null;null;null"
"PositionEstimator","positionEstimator","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"PositionEstimator","positionEstimator","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"PositionEstimator","positionEstimator","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"PositionEstimator","positionEstimator","CAPEC-192","Confidentiality",null,null,"EncryptedTransmission;null;null","null;null;null","null;null;null"
"PositionEstimator","positionEstimator","CAPEC-192","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"PositionEstimator","positionEstimator","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"PositionEstimator","positionEstimator","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null;null","supplyChainSecurity;null;null","7;null;null"
"PositionEstimator","positionEstimator","CAPEC-549",null,null,"Availability","RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"PositionEstimator","positionEstimator","CAPEC-549",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"PositionEstimator","positionEstimator","CAPEC-549","Confidentiality",null,null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
"PositionEstimator","positionEstimator","CAPEC-607",null,null,"Availability","FailSafe;AntiJamming;null","null;null;null","null;null;null"
"PositionEstimator","positionEstimator","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"PositionEstimator","positionEstimator","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
